fuzzyKey	title	scrapedDate	scrapedType	scrapedSubType	image
98831e017e04cf802bc0b779a6e5bb06	Press Release - 2021.09.23 - Covid 19 Infection Deaths	2021-09-23	Press Release	Covid 19 Infection Deaths	https://www.dgi.gov.lk/images/2021.09.24/Press_Release_-_971_English-page-001.jpg
7ee76c13298d1fc8e970afe49ae0b6d3	Press Release - 2021.09.22 - Covid 19 Infection Deaths	2021-09-22	Press Release	Covid 19 Infection Deaths	https://www.dgi.gov.lk/images/2021.09.24/Press_Release_-_969_English-page-001.jpg
cb7ef18b25cf9b87156ebc798132bf1f	Press Release - 2021.09.22	2021-09-22	Press Release	Press Release	https://www.dgi.gov.lk/images/2021.09.22/Press_Release_-_966_English-page-001.jpg
6a4de1966b0680aaad30b15939220cb9	Press Release - 2021.09.22 - Covid 19 Infection Deaths	2021-09-22	Press Release	Covid 19 Infection Deaths	https://www.dgi.gov.lk/images/2021.09.22/Press_Release_-_965_English-page-001.jpg
961706b1041b19f27e0958ef85d72ce5	Press Release - 2021.09.21 - Covid 19 Infection Report	2021-09-21	Press Release	Covid 19 Infection Report	https://www.dgi.gov.lk/images/2021.09.22/Press_Release_-_963_English-page-001.jpg
10217bcbbd665c366ed03383b74e621e	Press Release - 2021.09.21	2021-09-21	Press Release	Press Release	https://www.dgi.gov.lk/images/2021.09.22/Press_Release_-_962_English-page-001.jpg
67b4e38b831d6e2841238b970f8abe74	Press Release - 2021.09.21 - Covid 19 infection deaths	2021-09-21	Press Release	Covid 19 infection deaths	https://www.dgi.gov.lk/images/2021.09.22/Press_Release_-_961_English-page-001.jpg
47f39892d53f356c180df7a216fb69c4	Press Release - 2021.09.20 - Covid 19 Infection Report	2021-09-20	Press Release	Covid 19 Infection Report	https://www.dgi.gov.lk/images/2021.09.21/Press_Release_-_958_English-page-001.jpg
e33ca80ec2a7fe04f65a7065a6317793	Press Release - 2021.09.20	2021-09-20	Press Release	Press Release	https://www.dgi.gov.lk/images/2021.09.21/Press_Release_-_957_English-page-001.jpg
532ec924487601d709093862a0d81338	Press Release - 2021.09.20 - Covid 19 Infection Deaths	2021-09-20	Press Release	Covid 19 Infection Deaths	https://www.dgi.gov.lk/images/2021.09.21/Press_Release_-_956_English-page-001.jpg
2d5e9257aa2dc67b1be103ed8d9e1c8f	Press Release - 2021.09.19 - Covid 19 Infection Report	2021-09-19	Press Release	Covid 19 Infection Report	https://www.dgi.gov.lk/images/2021.09.20/Press_Release_-_955_English-page-001.jpg
24e198a014670cc0b60706577f81a749	Press Release - 2021.09.19 - Covid 19 Infection Deaths	2021-09-19	Press Release	Covid 19 Infection Deaths	https://www.dgi.gov.lk/images/2021.09.20/Press_Release_-_954_English-page-001.jpg
7dd1efaa0c3d109a793cf17fdb8bd791	Press Release - 2021.09.18 - Covid 19 Infection Report	2021-09-18	Press Release	Covid 19 Infection Report	https://www.dgi.gov.lk/images/2021.09.20/Press_Release_-_953_English-page-001.jpg
0e4c39293b4b0be084a59bff7787b2a0	Press Release - 2021.09.18	2021-09-18	Press Release	Press Release	https://www.dgi.gov.lk/images/2021.09.20/Press_Release_-_952_English-page-001.jpg
4a259fdbbf8f2f3319acdb94f0e0af3c	Press Release - 2021.09.18 - Covid 19 infection deaths	2021-09-18	Press Release	Covid 19 infection deaths	https://www.dgi.gov.lk/images/2021.09.20/Press_Release_-_951_English-page-001.jpg
65b13eaff2e3903d808bd09e0bc621d9	Press Release - 2021.09.18 - Universities to be opened soon after both COVID 19 vaccines are given to Academic and Non - Academic staff	2021-09-18	Press Release	Press Release	https://www.dgi.gov.lk/images/2021.09.20/university_to_open-page-001.jpg
a5774d9466419ca1d10ec48947facaba	Press Release - 2021.09.17 - Covid 19 Infection Report	2021-09-17	Press Release	Covid 19 Infection Report	https://www.dgi.gov.lk/images/2021.09.18/Press_Release_-_949_English-page-001.jpg
435d88be165e5e33ad9ec98578dd34ab	Press Release - 2021.09.17	2021-09-17	Press Release	Press Release	https://www.dgi.gov.lk/images/2021.09.18/Press_Release_-_948_English-page-001.jpg
8e7cf72093dab59ab41e69a969bfde4a	Press Release - 2021.09.17 - Covid 19 Infection Deaths	2021-09-17	Press Release	Covid 19 Infection Deaths	https://www.dgi.gov.lk/images/2021.09.18/Press_Release_-_947_English-page-001.jpg
21cee271a3759a1492a14417deca16d1	Press Release - 2021.09.16 - Covid 19 Infection Report	2021-09-16	Press Release	Covid 19 Infection Report	https://www.dgi.gov.lk/images/2021.09.18/Press_Release_-_944_English-page-001.jpg
9889bddec308ae5d4674898aa43051a8	Press Release - 2021.09.16	2021-09-16	Press Release	Press Release	https://www.dgi.gov.lk/images/2021.09.18/Press_Release_-_943_English-page-001.jpg
